skill,salary
Performance Tuning,105246.57
Troubleshooting,105246.57
Azure,114100.0
Software Engineer,114100.0
Artificial Intelligence,114100.0
AI training,114100.0
AI inferencing,114100.0
virtual desktop,114100.0
video,114100.0
gaming infrastructure,114100.0
hardware architectures,114100.0
network types,114100.0
Python programming,121851.84
data analysis,121851.84
automation,121851.84
cross-functional collaboration,121851.84
code review,121851.84
troubleshooting,121851.84
technical documentation,121851.84
industry trends,121851.84
database design,121851.84
SQL,121851.84
Agile development,121851.84
RESTful APIs,121851.84
web services,121851.84
problem-solving,121851.84
communication,121851.84
Python development,121851.84
data analytics,121851.84
large datasets,121851.84
Automation Testing,89000.0
JAVA,89000.0
Selenium,89000.0
Written Communication,89000.0
Verbal Communication,89000.0
Test Architecture,89000.0
Continuous Integration,89000.0
SQL,89000.0
C#/JAVA,89000.0
Javascript,89000.0
DevOps,42639.5
Cloud,42639.5
Google Cloud,42639.5
automation,42639.5
troubleshooting,42639.5
software design,42639.5
Ansible,42639.5
Jenkins,42639.5
Github,42639.5
Maven,42639.5
Materials Artist,98175.0
AAA quality environments,98175.0
game experience,98175.0
high fidelity materials,98175.0
production,98175.0
best practices,98175.0
documentation,98175.0
recruiting,98175.0
Unreal Engine 5,98175.0
3D art,98175.0
game development pipelines,98175.0
Maya,98175.0
Zbrush,98175.0
Substance Designer/Painter,98175.0
Python,98175.0
scripting languages,98175.0
procedural tools,98175.0
Houdini,98175.0
collaboration,98175.0
iterative team environment,98175.0
passion for games,98175.0
Back-End Developer,20064.0
server-side application development,20064.0
Node.js,20064.0
TypeScript,20064.0
Python,20064.0
databases,20064.0
cloud deployment,20064.0
API development,20064.0
security,20064.0
scaling,20064.0
Information Security,66000.0
Security Plans,66000.0
Security Policies,66000.0
Vulnerability Testing,66000.0
Security Breach Monitoring,66000.0
Phishing Campaigns,66000.0
Log Analysis,66000.0
Scripting Languages,66000.0
Web Technologies,66000.0
Cloud Environments,66000.0
Data Analytics,85000.0
Data Analysis,85000.0
Systems Support,85000.0
Research,85000.0
Microsoft Excel,85000.0
Statistical Analysis,85000.0
Dashboarding Software,85000.0
R,85000.0
Python,85000.0
SQL Reporting,85000.0
analytical skills,115600.0
problem-solving,115600.0
communication skills,115600.0
cross-functional collaboration,115600.0
SQL,115600.0
Excel,115600.0
Python,115600.0
Tableau,115600.0
data visualization,115600.0
business analysis,115600.0
Software development,163300.0
Python,163300.0
Pyspark,163300.0
Spark,163300.0
Critical thinking,163300.0
Problem-solving,163300.0
Team collaboration,163300.0
Customer obsession,163300.0
Enterprise level applications,163300.0
Relational Database,163300.0
backend software engineer,95700.0
software engineering,95700.0
python programming,95700.0
building Linux applications,95700.0
RESTful APIs,95700.0
test-driven development,95700.0
event driven architectures,95700.0
technical problem solving,95700.0
security clearance,95700.0
deploying applications in Kubernetes,95700.0
AI research,225000.0
tabular data,225000.0
data analysis,225000.0
natural language,225000.0
fast-paced,225000.0
startup,225000.0
computer science,225000.0
machine learning,225000.0
software development,225000.0
distributed systems,225000.0
Research,100000.0
Climate Change,100000.0
Resilience,100000.0
Mitigation,100000.0
Adaptation,100000.0
Evaluation,100000.0
Data Science,100000.0
Collaboration,100000.0
Program Management,100000.0
Quantitative Analysis,100000.0
AI/ML/NLP,110000.0
Python,110000.0
OpenAI,110000.0
Hugging Face,110000.0
AWS,110000.0
Lambda,110000.0
SageMaker,110000.0
OpenAI API,110000.0
Hugging Face Inference Endpoints,110000.0
Pandas,110000.0
NumPy,110000.0
SciPy,110000.0
Scikit-learn,110000.0
TensorFlow,110000.0
PyTorch,110000.0
Github Copilot,110000.0
AWS CodeWhisperer,110000.0
ChatGPT PLUS,110000.0
HIPAA,110000.0
SOC 2,110000.0
communication skills,110000.0
presentation skills,110000.0
Front End Developer,135000.0
web development,135000.0
web pages,135000.0
markup languages,135000.0
Python,135000.0
Docker,135000.0
GCP,135000.0
Web Front-End Development,135000.0
Kubernetes,135000.0
GCP IAP,135000.0
JavaScript,135000.0
HTML,135000.0
CSS,135000.0
Web Developer,2500.0
designing,2500.0
coding,2500.0
modifying,2500.0
websites,2500.0
front-end,2500.0
back-end,2500.0
technologies,2500.0
attention to detail,2500.0
functional,2500.0
visually appealing,2500.0
responsive,2500.0
user-friendly,2500.0
optimized,2500.0
devices,2500.0
graphic designers,2500.0
implementation,2500.0
design concepts,2500.0
speed,2500.0
scalability,2500.0
performance,2500.0
maintenance,2500.0
updates,2500.0
emerging technologies,2500.0
industry trends,2500.0
web development processes,2500.0
troubleshoot,2500.0
debug,2500.0
technical problems,2500.0
Proven experience,2500.0
front-end development languages,2500.0
HTML,2500.0
CSS,2500.0
JavaScript,2500.0
responsive design principles,2500.0
frameworks,2500.0
Bootstrap,2500.0
server-side programming languages,2500.0
PHP,2500.0
Python,2500.0
Ruby,2500.0
Node.js,2500.0
database systems,2500.0
MySQL,2500.0
MongoDB,2500.0
web server technologies,2500.0
Apache,2500.0
Nginx,2500.0
version control systems,2500.0
Git,2500.0
code deployment processes,2500.0
SEO principles,2500.0
team environment,2500.0
collaborate effectively,2500.0
problem-solving skills,2500.0
Full Stack Software Engineer,172500.0
web front-end,172500.0
back-end technologies,172500.0
React Native,172500.0
mobile native technologies,172500.0
cloud platforms,172500.0
problem-solving,172500.0
analytical skills,172500.0
communication,172500.0
collaboration,172500.0
Atlassian Administrator,81524.5
Jira,81524.5
Confluence,81524.5
Bitbucket,81524.5
Bamboo,81524.5
Groovy scripts,81524.5
Agile development,81524.5
Scrum,81524.5
Linux OS,81524.5
JQL,81524.5
AI planning,190000.0
cybersecurity research,190000.0
multi-domain awareness,190000.0
technology curiosity,190000.0
software development,190000.0
Python,190000.0
Linux,190000.0
docker,190000.0
problem-solving,190000.0
networking protocols,190000.0
Autosar,98208.0
Embedded Engineer,98208.0
Design,98208.0
Develop,98208.0
Low-level IoHW drivers,98208.0
Programming,98208.0
C,98208.0
Python,98208.0
I2C,98208.0
SPI,98208.0
STEM,42240.0
Arts,42240.0
teaching,42240.0
classroom setting,42240.0
class management,42240.0
transportation,42240.0
driver's license,42240.0
CPR,42240.0
First Aid,42240.0
background check,42240.0
DevOps,110627.29
Python,110627.29
scripting languages,110627.29
.NET,110627.29
Java,110627.29
Angular,110627.29
Ruby,110627.29
DevOps best practices,110627.29
infrastructure automation,110627.29
Cloud Computing,110627.29
Software Engineering,137280.0
API services,137280.0
Service-oriented architecture,137280.0
Front-end architectures,137280.0
Debugging,137280.0
Profiling applications,137280.0
RESTful architectures,137280.0
GraphQL,137280.0
Open API/Swagger spec,137280.0
C# .NET,137280.0
Python,137280.0
JavaScript,137280.0
TypeScript,137280.0
HTML,137280.0
CSS,137280.0
Azure cloud services,137280.0
IoT,137280.0
Edge computing,137280.0
Infrastructure as Code,137280.0
Terraform,137280.0
SLDC,137280.0
Authorization mechanisms,137280.0
Git,137280.0
Azure DevOps,137280.0
CI/CD tooling,137280.0
Algorithms,137280.0
Data structures,137280.0
Microsoft AZ-204 certification,137280.0
Azure services,137280.0
SPA projects,137280.0
PWA projects,137280.0
JavaScript UI framework,137280.0
React,137280.0
Angular,137280.0
Vue,137280.0
Component and System Modeling,159000.0
Simulation,159000.0
Data Management,159000.0
Software Applications,159000.0
New Product Development,159000.0
Strategic Development,159000.0
HVAC Components & Systems,159000.0
Leadership,159000.0
Process Improvement,159000.0
Modeling and Simulation Tools,159000.0
thermal testing,79200.0
power testing,79200.0
performance testing,79200.0
characterization,79200.0
measurement activities,79200.0
computer testing,79200.0
mobile testing,79200.0
android platforms,79200.0
thermal measurement methodologies,79200.0
data analysis,79200.0
manual test procedures,79200.0
Excel,79200.0
PowerPoint,79200.0
Keynote,79200.0
MatLab,79200.0
Python,79200.0
lab management,79200.0
organizing lab space,79200.0
organizing lab equipment,79200.0
Engineering,79200.0
Sciences,79200.0
Enterprise Infrastructure,135800.0
Architect,135800.0
Computer Science,135800.0
Computer Engineering,135800.0
Information Systems,135800.0
Technical Experience,135800.0
Integration,135800.0
Security,135800.0
Management,135800.0
Systems,135800.0
Virtualization,135800.0
Network Operations,135800.0
Scripting Languages,135800.0
Cloud Architecture,135800.0
VMware Administration,135800.0
software development,177500.0
C++,177500.0
Java,177500.0
Python,177500.0
quantitative analytics,177500.0
communication,177500.0
team-working,177500.0
project development,177500.0
financial engineering,177500.0
risk management,177500.0
Software development,128590.0
Product design,128590.0
Troubleshooting,128590.0
Cross-team leadership,128590.0
Front End Development,128590.0
Functional JavaScript,128590.0
Object-Oriented JavaScript,128590.0
HTML,128590.0
CSS,128590.0
Data visualizations,128590.0
Computer architecture,128590.0
Data structures,128590.0
Algorithms,128590.0
Design patterns,128590.0
Back End Development,128590.0
Java,128590.0
Python,128590.0
C++,128590.0
Operating Systems,128590.0
Multi-Threading,128590.0
Equal Employment Opportunity,128590.0
Work-life balance,128590.0
sales,42240.0
market strategies,42240.0
customer analysis,42240.0
value propositions,42240.0
market intelligence,42240.0
business proposals,42240.0
competitor analysis,42240.0
data collection,42240.0
financial reporting,42240.0
database skills,42240.0
Test Automation,90000.0
Cucumber,90000.0
SpecFlow,90000.0
Selenium,90000.0
SoapUI,90000.0
Junit,90000.0
NUnit,90000.0
TestNG,90000.0
Java,90000.0
SQL,90000.0
statistical analysis,49800.0
data preparation,49800.0
data cleaning,49800.0
summary statistics,49800.0
programming,49800.0
Stata,49800.0
R,49800.0
MATLAB,49800.0
Python,49800.0
LaTeX,49800.0
Software Engineer,138450.0
Intune Engineering,138450.0
device management,138450.0
security,138450.0
modern workplace experiences,138450.0
cloud-based device configuration,138450.0
security management,138450.0
frontend experiences,138450.0
backend services,138450.0
agile environment,138450.0
Software Engineering,215500.0
Agile,215500.0
Kubernetes,215500.0
Infrastructure-as-code,215500.0
Terraform,215500.0
Ansible,215500.0
BGP peering,215500.0
UI & UX,215500.0
Programming languages,215500.0
Cloud infrastructure platforms,215500.0
Software development,190000.0
DevOps,190000.0
CICD,190000.0
Version management,190000.0
Network and system automation,190000.0
Virtualization,190000.0
Container technologies,190000.0
Knowledge acquisition,190000.0
Network protocols,190000.0
Reverse engineering,190000.0
quantitative skills,55925.76
Stata,55925.76
R,55925.76
Python,55925.76
oral communication,55925.76
written communication,55925.76
experimental research,55925.76
ability to work independently,55925.76
statistical analyses,55925.76
research protocols,55925.76
Test Automation,113300.0
Software Engineer,113300.0
Design,113300.0
Development,113300.0
Maintenance,113300.0
Test Software,113300.0
Troubleshooting,113300.0
Test Plans,113300.0
Test Procedures,113300.0
Integration Test,113300.0
Telecom management,111500.0
Telecom solutions,111500.0
troubleshooting,111500.0
implementation,111500.0
cloud-based solutions,111500.0
contact center environment,111500.0
PBX,111500.0
IVR,111500.0
Network Management,111500.0
scripting languages,111500.0
Dev Ops,119500.0
Platform Engineer,119500.0
Senior,119500.0
cloud platform,119500.0
container platform,119500.0
container management,119500.0
Docker,119500.0
Kubernetes,119500.0
AWS,119500.0
Azure,119500.0
DevOps,137280.0
AWS,137280.0
cloud infrastructure administration,137280.0
Terraform,137280.0
EKS,137280.0
Gitlab,137280.0
Maven,137280.0
Azure Active Directory,137280.0
Python,137280.0
JavaScript,137280.0
Circuit Design,101000.0
Layout Design,101000.0
Microelectronic Electrical Principles,101000.0
Organizational Skills,101000.0
Cadence Design Suite,101000.0
Semiconductor Device Physics,101000.0
Analog/Mixed Signal Integrated Circuit Design,101000.0
Verilog-A,101000.0
Verilog-AMS,101000.0
Superconducting Reciprocal Quantum Logic Circuit Design,101000.0
Systems Administrator,126720.0
VMware ESXi,126720.0
Cisco UCS,126720.0
Pure Storage,126720.0
DCs,126720.0
Upgrades,126720.0
Patching,126720.0
Hardening,126720.0
Escalations,126720.0
SAN,126720.0
Field Application Engineer,75000.0
cloud-based platform,75000.0
Linux-based systems,75000.0
network systems,75000.0
training & knowledge sharing,75000.0
remote deployment environments,75000.0
Linux operation systems,75000.0
hardware,75000.0
network,75000.0
software,75000.0
and database,75000.0
analytical and troubleshooting skills,75000.0
customer support,75000.0
scripting,75000.0
troubleshooting distributed applications,75000.0
low-level analytics & logs,75000.0
QA lifecycle & concepts,75000.0
mechanical experience,75000.0
software architect,157400.0
development/prototyping,157400.0
business process,157400.0
communication skills,157400.0
positive attitude,157400.0
small team,157400.0
Amazon Web Services,157400.0
Python/JavaScript/NodeJs/TypeScript,157400.0
React,157400.0
MongoDB/PostgresQL/Milvus,157400.0
C++,100000.0
Python,100000.0
Linux,100000.0
Java,100000.0
SQL,100000.0
Javascript,100000.0
scripting,100000.0
cloud computing,100000.0
simulation development,100000.0
data parsing,100000.0
Industrial Test Engineer,86000.0
electronic engineering,86000.0
electrical engineering,86000.0
mechanical engineering,86000.0
advanced theory,86000.0
mathematical,86000.0
scientific,86000.0
engineering principles,86000.0
test plans,86000.0
engineering change processes,86000.0
design and development,86000.0
systems,86000.0
testing,86000.0
validation,86000.0
electrical systems,86000.0
software development,86000.0
AutoCad,86000.0
design,86000.0
development,86000.0
and research,86000.0
3D printing,86000.0
motor design,86000.0
electromechanical control theory,86000.0
3D modeling,86000.0
system and test engineering methodology,86000.0
fabrication,86000.0
material composition,86000.0
machining,86000.0
electrical AC/DC theory,86000.0
depot level repair design,86000.0
device modeling,86000.0
board and component layout,86000.0
schematic capture S/W,86000.0
electronic components,86000.0
software design languages,86000.0
computer interface S/W,86000.0
EIT,86000.0
PE license,86000.0
Green belt certified,86000.0
system integration,118700.0
verification and validation,118700.0
cost and risk analysis,118700.0
supportability and effectiveness analysis,118700.0
functional analysis,118700.0
timeline analysis,118700.0
detail trade studies,118700.0
requirements allocation,118700.0
interface definition studies,118700.0
software test cases,118700.0
Java,145500.0
Software development,145500.0
Cloud architecture,145500.0
Containers,145500.0
Unix-based operating systems,145500.0
Relational database,145500.0
Linux distributions,145500.0
Messaging,145500.0
Web application basics,145500.0
JIRA,145500.0
Apache Kafka,145500.0
Microservices,145500.0
Containerization,145500.0
Kubernetes,145500.0
AWS services,145500.0
Python,145500.0
Web server configuration,145500.0
AWS,145500.0
Build/deploy tools,145500.0
Agile environment,145500.0
Physics,145500.0
Mathematics,145500.0
Aerospace,145500.0
NiFi,145500.0
CompTIA Security+ CE certification,145500.0
Technical Artist,80000.0
art pipelines,80000.0
art creation tools,80000.0
asset pipelines,80000.0
scripting,80000.0
art-content systems,80000.0
3D and 2D artists,80000.0
Unity,80000.0
Maya or 3D StudioMax,80000.0
Python and MEL,80000.0
Network Engineer,189000.0
network routing,189000.0
network switching,189000.0
private cloud environments,189000.0
network deployment,189000.0
network implementation,189000.0
reliability,189000.0
security,189000.0
performance,189000.0
troubleshooting,189000.0
IT Audit,124000.0
Risk Management,124000.0
Technology,124000.0
Operational Risk,124000.0
Information Technology,124000.0
Data Management,124000.0
Governance,124000.0
COBIT,124000.0
NIST,124000.0
ISO,124000.0
Data Science,196500.0
Machine Learning,196500.0
Data Engineering,196500.0
Behavioral Analyses,196500.0
Time Series Data,196500.0
Open-source Tools,196500.0
Privacy and Ethics,196500.0
Data-driven Problem Solving,196500.0
Python,196500.0
Communication Excellence,196500.0
software engineering,190000.0
Chinese language,190000.0
research experience,190000.0
cybersecurity,190000.0
natural language processing,190000.0
machine learning,190000.0
web scraping,190000.0
data analysis,190000.0
Python programming,190000.0
source control,190000.0
MBSE,112000.0
Digital Engineering,112000.0
Remote Sensing,112000.0
Missile Warning,112000.0
Tactical Intelligence,112000.0
Surveillance,112000.0
Reconnaissance,112000.0
Environmental Monitoring,112000.0
Systems Engineering,112000.0
Model-Based Systems Engineering,112000.0
Data Storage Technologies,154200.0
Virtual Infrastructure,154200.0
Network Engineering,154200.0
Windows Systems Engineering,154200.0
Linux Engineering,154200.0
Scripting/Automation,154200.0
NetApp,154200.0
VMware vCenter,154200.0
Cisco,154200.0
Red Hat Enterprise Linux,154200.0
Java programming,247000.0
distributed systems,247000.0
networking,247000.0
multi-threading,247000.0
MapReduce,247000.0
Apache Hadoop,247000.0
HDFS,247000.0
Apache Accumulo,247000.0
Apache NiFi,247000.0
NoSQL,247000.0
MongoDB,247000.0
Spring framework,247000.0
Microservice Architectures,247000.0
REST APIs,247000.0
Agile development,247000.0
Scrum,247000.0
Containerization,247000.0
Docker,247000.0
Kubernetes,247000.0
JMS,247000.0
ActiveMQ,247000.0
RabbitMQ,247000.0
Automated testing,247000.0
JAVA,247000.0
Junit,247000.0
Mockito,247000.0
Data Serialization Format,247000.0
JSON,247000.0
YAML,247000.0
Linux fundamentals,247000.0
Python scripting,247000.0
Bash scripting,247000.0
source code management,247000.0
Git,247000.0
Maven,247000.0
Jira,247000.0
Continuous Integration,247000.0
Continuous Testing,247000.0
Bamboo,247000.0
Jenkins,247000.0
GitLab,247000.0
Continuous Monitoring,247000.0
ELK Stack,247000.0
ElasticSearch,247000.0
Logstash,247000.0
Kibana,247000.0
Nagios,247000.0
software development,145500.0
requirements analysis,145500.0
installation,145500.0
integration,145500.0
evaluation,145500.0
enhancement,145500.0
maintenance,145500.0
testing,145500.0
problem diagnosis,145500.0
system engineering,145500.0
distributed computation,145500.0
scripting languages,145500.0
Cloud System management,145500.0
hardware/software systems,145500.0
Cloud Systems Administrator Developer Certification,145500.0
Computer Science,145500.0
TS/SCI security clearance,145500.0
UNIX,145500.0
Linux OS,145500.0
SaltStack automation framework,145500.0
SaltStack programing language,145500.0
SaltStack systems management,145500.0
network infrastructures,145500.0
PKI,145500.0
IPSEC,145500.0
VPN,145500.0
distributed storage,145500.0
querying algorithms,145500.0
documentation,145500.0
object-oriented programming languages,145500.0
COTS products integration,145500.0
analytical skills,145500.0
information systems integration,145500.0
storage optimization,145500.0
multi-thread environment,145500.0
software debugging,145500.0
system performance,145500.0
Configuration Management,145500.0
monitoring tools,145500.0
Agile software methodologies,145500.0
